City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Tukrah,LY,32.5341,20.5791,66.85,64,4,11.45,clear sky
302,Panguna,PG,-6.3164,155.4848,68.0,95,98,1.79,light rain
303,Zhongshu,CN,24.5167,103.7667,50.58,86,0,4.21,clear sky
304,Sao Caetano De Odivelas,BR,-0.75,-48.02,84.29,73,70,6.35,broken clouds
305,Bosaso,SO,11.2842,49.1816,80.33,71,36,7.87,scattered clouds
306,Port Hawkesbury,CA,45.6169,-61.3485,53.91,79,65,5.01,broken clouds
307,Jinxiang,CN,27.4327,120.6062,69.91,90,88,5.26,overcast clouds
308,Moron,AR,-34.6534,-58.6198,87.94,47,76,8.84,broken clouds
309,Bambous Virieux,MU,-20.3428,57.7575,72.21,75,25,10.29,scattered clouds
310,Liverpool,GB,53.4106,-2.9779,60.75,79,75,12.66,broken clouds
311,Coquimbo,CL,-29.9533,-71.3436,62.33,72,75,8.05,broken clouds
312,Belmonte,BR,-15.8631,-38.8828,80.51,69,96,8.3,overcast clouds
313,Samarai,PG,-10.6167,150.6667,79.3,80,83,10.36,broken clouds
314,Baturaja,ID,-4.1333,104.1667,74.01,95,100,1.92,overcast clouds
315,Sambava,MG,-14.2667,50.1667,72.99,82,2,8.61,clear sky
316,Turukhansk,RU,65.8167,87.9833,8.69,92,100,15.12,overcast clouds
317,Ormara,PK,25.2088,64.6357,80.19,71,11,9.1,few clouds
318,Gouyave,GD,12.1646,-61.7296,79.36,78,82,15.17,broken clouds
319,Sungaipenuh,ID,-2.0833,101.3833,64.17,97,100,1.14,moderate rain
320,Mitu,CO,1.1983,-70.1733,89.29,53,31,3.11,scattered clouds
321,Kemijarvi,FI,66.7131,27.4306,34.61,86,88,10.36,overcast clouds
322,Hede,CN,33.7681,120.2517,64.27,95,37,9.04,scattered clouds
323,Saint Anthony,US,45.0205,-93.218,30.88,79,100,16.11,overcast clouds
324,Nishihara,JP,26.1842,127.7558,77.05,94,100,11.5,overcast clouds
325,Laguna,US,38.421,-121.4238,58.01,75,0,1.99,clear sky
326,Najran,SA,17.4924,44.1277,66.27,26,3,4.03,clear sky
327,Geraldton,AU,-28.7667,114.6,52.21,76,0,9.22,clear sky
328,Moscow,RU,55.7522,37.6156,46.92,87,100,12.62,overcast clouds
329,Havre,FR,49.5833,0.3333,51.57,82,0,10.36,clear sky
330,Fort Nelson,CA,58.8053,-122.7002,16.52,89,100,1.34,overcast clouds
331,Chitral,PK,35.8462,71.7858,35.56,46,2,8.05,clear sky
