City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Shirokiy,RU,2022-11-07 21:34:00,49.758,129.523,20.52,87,100,2.46
281,Fortuna,US,2022-11-07 21:34:00,40.5982,-124.1573,53.65,88,100,8.01
282,Ramygala,LT,2022-11-07 21:34:00,55.5167,24.3,45.9,93,90,9.42
283,Khash,IR,2022-11-07 21:29:19,28.2211,61.2158,61.97,44,57,2.35
284,Sokoto,NG,2022-11-07 21:34:01,13.0609,5.239,77.31,18,36,9.4
285,Sitka,US,2022-11-07 21:30:55,57.0531,-135.33,35.49,25,0,7.05
286,Banda Aceh,ID,2022-11-07 21:34:01,5.5577,95.3222,78.93,77,100,7.76
287,Bang Saphan,TH,2022-11-07 21:34:01,11.2126,99.5117,73.71,90,98,3.38
288,Krivosheino,RU,2022-11-07 21:34:02,57.3431,83.9261,21.94,98,90,3.47
289,Uttaradit,TH,2022-11-07 21:34:02,17.6667,100.5,63.77,94,3,3.02
290,Mahebourg,MU,2022-11-07 21:34:03,-20.4081,57.7,73.26,83,20,4.61
291,Moose Factory,CA,2022-11-07 21:34:03,51.2585,-80.6094,32.0,86,20,16.11
292,Saskylakh,RU,2022-11-07 21:34:04,71.9167,114.0833,-24.18,99,25,4.9
293,Port Maria,JM,2022-11-07 21:34:04,18.3685,-76.8895,84.16,77,33,3.42
294,Rumphi,MW,2022-11-07 21:34:04,-11.0186,33.8575,70.07,57,88,5.26
